Keyword,Clicks,Impressions,CTR %,Avg Position,Page 1?,Priority,Action Item
coffee near me within 0.2 mi,0,2,0,9.5,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee nearby,0,2,0,24.5,NO,LOW — Monitor,Track over time. Consider if worth targeting.
coffee open,0,1,0,9,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee open now,0,1,0,6,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee open now near me,0,1,0,8,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee shop,0,2,0,50.5,NO,LOW — Monitor,Track over time. Consider if worth targeting.
coffee shop kona,0,1,0,18,NO,LOW — Monitor,Track over time. Consider if worth targeting.
coffee shop near me,0,2,0,23.5,NO,LOW — Monitor,Track over time. Consider if worth targeting.
coffee shop near me within 0.2 mi,0,2,0,6.5,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee shop open near me,0,1,0,7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee shops near me,0,2,0,27.5,NO,LOW — Monitor,Track over time. Consider if worth targeting.
coffee shops near me open now,0,3,0,6.7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee shops open late,0,1,0,6,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee shops open late today,0,1,0,5,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
coffee shops open now near me,0,1,0,8,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
dessert in waikiki,0,1,0,29,NO,LOW — Monitor,Track over time. Consider if worth targeting.
dessert near me,0,19,0,38.6,NO,LOW — Monitor,Track over time. Consider if worth targeting.
dessert near me open now,0,4,0,23.8,NO,LOW — Monitor,Track over time. Consider if worth targeting.
dessert near me within 0.2 mi,0,1,0,21,NO,LOW — Monitor,Track over time. Consider if worth targeting.
dessert open near me,0,3,0,9.7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
dessert places near me,0,1,0,59,NO,LOW — Monitor,Track over time. Consider if worth targeting.
donut,0,5,0,13.4,NO,LOW — Monitor,Track over time. Consider if worth targeting.
donut and coffee shop,0,1,0,2,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donut near me,0,7,0,8.7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donut place near me,0,1,0,20,NO,LOW — Monitor,Track over time. Consider if worth targeting.
donut shop,0,6,0,11.8,NO,LOW — Monitor,Track over time. Consider if worth targeting.
donut shop closest to me,0,3,0,4,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donut shop honolulu,0,1,0,10,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donut shop near me,0,9,0,6.6,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donut shop open now,0,1,0,2,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donut shops,0,3,0,12.7,NO,LOW — Monitor,Track over time. Consider if worth targeting.
donut shops open late,0,1,0,1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donut waikiki,0,3,0,5.7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donut.near me,0,1,0,3,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donuts,0,19,0,10.1,NO,LOW — Monitor,Track over time. Consider if worth targeting.
donuts and coffee,0,1,0,13,NO,LOW — Monitor,Track over time. Consider if worth targeting.
donuts near me open now,0,3,0,2.3,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donuts open late,0,1,0,7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
donuts open now near me,0,1,0,17,NO,LOW — Monitor,Track over time. Consider if worth targeting.
doughnuts near me,0,9,0,7.9,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
hawaiian kona,0,1,0,88,NO,LOW — Monitor,Track over time. Consider if worth targeting.
kona,0,3,0,9,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona bakery,0,6,0,5.3,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona cafe,0,8,0,1.6,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona cafe hawaii,0,1,0,7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona cafe near me,0,1,0,1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona cafe waikiki,0,1,0,6,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona chocolate,0,3,0,9.7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffe,0,2,0,2,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee beans near me,0,1,0,1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee cafe,0,1,0,8,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee donuts,0,4,0,1.2,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee hawaii,0,1,0,7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee hawaii waikiki,0,5,0,15.2,NO,LOW — Monitor,Track over time. Consider if worth targeting.
kona coffee in honolulu,0,1,0,19,NO,LOW — Monitor,Track over time. Consider if worth targeting.
kona coffee in waikiki,0,1,0,3,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee menu,0,41,0,8.1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee menu waikiki,0,33,0,6.2,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee oahu,0,9,0,7.7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee purveyors menu,0,5,0,71.6,NO,LOW — Monitor,Track over time. Consider if worth targeting.
kona coffee shop,0,2,0,4.5,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee waikiki,0,19,0,10.9,NO,LOW — Monitor,Track over time. Consider if worth targeting.
kona coffee waikiki menu,0,8,0,10,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona coffee.,0,1,0,1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona iced coffee,0,1,0,1,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona pastries,0,1,0,2,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona waikiki,0,3,0,5.7,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
kona 咖啡,0,1,0,8,YES,MEDIUM — Low volume but ranking,Monitor. Consider expanding content around this topic.
